"","URAU_CODE","URAU_NAME","CAPITAL_CI","CITY_IN_KE","CityAREA","FUAarea","CityPOP2012","PBAcity","DIScity","w1DIScity","UPcity","w2UDcity","LUPcity","WUPcity","POPfua2009","CityAreainFUA","POPproportioninCITY2009","POPch20062012","chPROPORTION20062006","UMZtoCITYarea","UMZtoFUAarea","AVEwTEMP","AVEcTEMP","Rain","Agriculture2012f","ContUrb2012c","ContUrb2012f","DiscontUrb2012f","DiscontUrb2012c","Industrial2012c","Industrial2012f","wetlands2012f","Vegetation2012f","Vegetation2012c","GreenUrb2012c","BARE2012c","BARE2012f","Forest2012f","Soviet","Coastal","NoHH","NoDwell2011","DWELLper100HH","CarsPer100pop","POLY","cluster"
"205","BG017C1","Veliko Tarnovo",0,0,30.1940967206293,885.096601766329,68.971,21.692984514,46.9535634689,1.20466903569,1018.56292521,0.156849002951,104.971654753,192.45862296,88.609,3.41138997261688,76.6953695448544,3.81413971130545,1.40326514657242,48.1882274360574,8.22170143403304,19.4,-2.814285714,50.72857143,278.121537924769,0,0,4.70050064744046,20.6826568169352,21.414092203267,1.48206779924632,0,11.7072605995781,26.4851460892856,4.77753271557142,2.05247988003755,0.179539857206305,304.969660607972,1,0,31.983,31.356,98.0395835287496,68.31,68.5,7
"206","BG011C1","Shumen",0,0,136.074679443426,945.154748766976,81.155,7.39708717515,44.6865018653,1.05036266524,330.54994985,0.425651252384,137.514632493,147.784976773,102.886,14.3970793799582,80.9089672064226,-6.11189523126403,0.105399951133919,17.424255634464,8.16691659230407,19.4,-2.814285714,50.72857143,45.4688472874936,0.198245864589094,0.0285416144923763,4.92595931285731,6.83557406370193,8.9041318503261,1.73789743553408,0.0519496684897642,2.92337851131236,3.02750590760241,1.06181106368158,0,0,18.7828416025521,1,0,34.578,37.195,107.568396089999,60.16,68.5,7
"207","BG003C1","Varna",0,0,154.001571047654,2039.39336696456,338.038,18.8256926824,46.4781699197,1.17473077288,874.983743349,0.0914819591732,94.9893207275,94.0315914808,406.835,7.55134215606823,80.6705421116669,7.85222715337224,0.790479314117619,30.9152690301241,7.5051729832688,25.3,-0.9,51.8,42.5759313779301,0,0,4.74366621731213,15.590246809542,6.93636106461862,1.05867841905781,0.346066751661289,4.98604759640122,1.30964558928136,6.48851103168796,0.259706308629929,0.307220044398613,73.1348895280858,1,1,141.448,167.472,118.398280640235,55.49,68.5,7
"208","BG007C1","Vidin",0,0,63.3542139174293,622.85502761367,51.192,12.4629285227,45.650209612,1.1191359799,568.935299442,0.649408105443,173.0739178,413.488507782,72.749,10.1715826490406,71.5102613094338,-4.83697066587352,1.73129591743465,27.5277663814594,7.87823776393052,24.3,-2.7,51.2,140.30484532179,0,0,5.78115805884301,12.9893391410785,11.6235989578359,1.45231972189572,0,2.4277546993928,2.80759965724929,0.426115257860218,0,0.158082768147844,17.8645882052776,1,0,19.64,24.325,123.854378818737,69.71,68.5,7
"209","BG015C1","Pazardzhik",0,0,37.4980852442248,636.839120417274,74.391,24.9807546162,47.2499900093,1.22250252052,1180.34040604,0.423533357592,137.24778535,611.145556914,117.178,5.88815668542081,64.9831879704381,-5.57600528025995,0.502859283141206,45.9223448019979,9.17343142514889,19.4,-2.814285714,50.72857143,53.3718285467503,0,0,7.12181983674827,27.123993226472,12.8943273410085,1.34484338854521,0,7.16783181296146,2.3524015195837,0.94404664010181,0,0,44.6425180615504,1,0,27.68,31.782,114.81936416185,86.08,68.5,7
"210","BG016C1","Blagoevgrad",0,0,28.8174584589542,1354.85264843882,71.458,22.7015853812,46.5243899564,1.17771032264,1056.1774109,0.118875538783,99.4990064098,147.86583998,94.167,2.12698100359181,75.4648656110952,1.33730411969085,1.13683778354169,34.007162755031,1.94486094339209,19.4,-2.814285714,50.72857143,32.4177714420236,0,0,1.69174055286093,27.4961734121526,12.5671519981832,0.374823315542953,0,33.3878202086248,28.3825864593507,0,0,0.650313260896126,79.8512862530595,1,0,30.274,29.121,96.1914514104512,57.89,68.5,7
"211","BG012C1","Pernik",0,0,85.4017332871439,5716.90723378948,81.185,13.6214446493,46.5885849627,1.1818247325,634.603831361,0.564148570584,157.171891359,423.106070356,1500.287,9.36565866569972,5.42116275086034,-0.515893439207901,-0.161070635007802,30.9478496310317,8.47293790490492,19.4,-2.814285714,50.72857143,42.4250767477446,0,0.115985277015858,5.60623520310046,19.2850810083391,5.05320115229925,1.67024946630193,0.342975521829527,19.2545799684144,9.66973771420398,5.89848665408533,0.577465630166606,1.65125352731548,160.232062504062,1,0,32.681,36.955,113.077935191702,89.84,68.5,7
"212","BG014C1","Haskovo",0,0,96.0112340577466,739.674485832074,76.439,9.95987978219,46.2679478437,1.16100239474,460.823198292,0.411905749259,135.794555135,220.376511015,95.643,12.980200871704,80.9447633386657,-3.09334550387302,-0.135567647611765,14.3420716701943,5.27123765207872,19.4,-2.814285714,50.72857143,73.2810761160225,0,0,4.49288505931945,9.22497869355875,4.35345754449607,0.739182247884343,0.370827718873569,26.1078171120723,1.42799308513797,0.772531292330818,0,0,19.2221340574777,1,0,28.89,34.595,119.747317410869,66.5,68.5,7
"213","BG013C1","Yambol",0,0,90.6746601817869,1309.57496972207,74.793,10.8685126418,46.5461021013,1.1791050318,505.886899112,0.477266654627,144.264837618,284.686594831,101.628,6.92397627308276,75.3552170661629,-5.64897629650187,1.08901633353469,19.9283900968284,5.94925848472308,19.4,-2.814285714,50.72857143,78.115425071877,0,0,4.48899764100373,6.8722425641369,10.4445476890277,1.25194454884682,0,4.24145292916208,1.21439925822915,2.93440634143618,0,0,8.37853118651821,1,0,29.918,34.788,116.277826057892,53.95,68.5,7
"214","BG002C1","Plovdiv",0,0,101.888674022384,2772.87894880511,338.153,33.6233520506,48.0877231699,1.26915828269,1616.87044545,0.198140536972,110.334670992,406.597165473,549.091,3.67447248522298,61.996827483969,-1.64595767454306,0.157689964139038,49.7307482761708,7.51926080616851,25.1,-4.2,52.95,229.724974419051,0.345305374690541,0.012688150983,5.2785299210942,26.2716935067979,15.9736723068194,1.51763010128815,0,9.09752106466825,0.495551307095354,3.70550130466,0,0.246251525633402,57.8107975093852,1,0,137.804,147.696,107.178311224638,54.01,68.5,7
